Council,No_Of_Connections,Month,Year,Type
Mayo,132,November,2008,County
Meath,164,November,2008,County
Monaghan,51,November,2008,County
North Tipperary,118,November,2008,County
Offaly,52,November,2008,County
Roscommon,74,November,2008,County
Sligo,66,November,2008,County
South Dublin,115,November,2008,County
South Tipperary,72,November,2008,County
Waterford,109,November,2008,County
Westmeath,76,November,2008,County
Wexford,154,November,2008,County
Carlow,40,December,2008,County
Cavan,74,December,2008,County
Clare,96,December,2008,County
Cork,335,December,2008,County
Donegal,202,December,2008,County
Dun Laoghaire,100,December,2008,County
Fingal,213,December,2008,County
Galway,228,December,2008,County
Kerry,134,December,2008,County
Kildare,158,December,2008,County
Kilkenny,97,December,2008,County
Laois,88,December,2008,County
Leitrim,28,December,2008,County
Limerick,119,December,2008,County
Longford,28,December,2008,County
Louth,155,December,2008,County
Mayo,154,December,2008,County
Meath,111,December,2008,County
Monaghan,59,December,2008,County
North Tipperary,83,December,2008,County
Offaly,51,December,2008,County
Roscommon,68,December,2008,County
Sligo,20,December,2008,County
South Dublin,91,December,2008,County
South Tipperary,56,December,2008,County
Waterford,50,December,2008,County
Westmeath,106,December,2008,County
Wexford,147,December,2008,County
Carlow,19,January,2009,County
Cavan,65,January,2009,County
Clare,95,January,2009,County
Cork,199,January,2009,County
Donegal,126,January,2009,County
Dun Laoghaire,253,January,2009,County
Fingal,111,January,2009,County
Galway,121,January,2009,County
Kerry,49,January,2009,County
Kildare,74,January,2009,County
Kilkenny,47,January,2009,County
Laois,55,January,2009,County
Leitrim,66,January,2009,County
Limerick,50,January,2009,County
Longford,72,January,2009,County
Louth,109,January,2009,County
Mayo,121,January,2009,County
Meath,101,January,2009,County
Monaghan,30,January,2009,County
North Tipperary,41,January,2009,County
Offaly,38,January,2009,County
Roscommon,63,January,2009,County
Sligo,47,January,2009,County
South Dublin,48,January,2009,County
South Tipperary,32,January,2009,County
Waterford,46,January,2009,County
Westmeath,64,January,2009,County
Wexford,98,January,2009,County
Carlow,36,February,2009,County
Cavan,45,February,2009,County
Clare,82,February,2009,County
Cork,282,February,2009,County
Donegal,186,February,2009,County
Dun Laoghaire,102,February,2009,County
Fingal,147,February,2009,County
Galway,130,February,2009,County
Kerry,63,February,2009,County
Kildare,61,February,2009,County
Kilkenny,53,February,2009,County
Laois,53,February,2009,County
Leitrim,25,February,2009,County
Limerick,88,February,2009,County
Longford,53,February,2009,County
Louth,43,February,2009,County
Mayo,107,February,2009,County
Meath,134,February,2009,County
Monaghan,30,February,2009,County
North Tipperary,47,February,2009,County
Offaly,29,February,2009,County
Roscommon,44,February,2009,County
Sligo,47,February,2009,County
South Dublin,40,February,2009,County
South Tipperary,33,February,2009,County
Waterford,42,February,2009,County
Westmeath,23,February,2009,County
Wexford,75,February,2009,County
Carlow,50,March,2009,County
Cavan,38,March,2009,County
Clare,99,March,2009,County
Cork,241,March,2009,County
Donegal,132,March,2009,County
Dun Laoghaire,55,March,2009,County
Fingal,128,March,2009,County
Galway,99,March,2009,County
Kerry,100,March,2009,County
Kildare,92,March,2009,County
Kilkenny,39,March,2009,County
Laois,48,March,2009,County
Leitrim,42,March,2009,County
Limerick,102,March,2009,County
Longford,37,March,2009,County
Louth,51,March,2009,County
Mayo,71,March,2009,County
Meath,77,March,2009,County
Monaghan,19,March,2009,County
North Tipperary,40,March,2009,County
Offaly,49,March,2009,County
Roscommon,54,March,2009,County
Sligo,46,March,2009,County
South Dublin,42,March,2009,County
South Tipperary,37,March,2009,County
Waterford,51,March,2009,County
Westmeath,82,March,2009,County
Wexford,98,March,2009,County
Carlow,45,April,2009,County
Cavan,38,April,2009,County
Clare,53,April,2009,County
Cork,215,April,2009,County
Donegal,122,April,2009,County
Dun Laoghaire,77,April,2009,County
Fingal,91,April,2009,County
Galway,135,April,2009,County
Kerry,70,April,2009,County
Kildare,113,April,2009,County
Kilkenny,43,April,2009,County
Laois,48,April,2009,County
Leitrim,22,April,2009,County
Limerick,50,April,2009,County
Longford,106,April,2009,County
Louth,55,April,2009,County
Mayo,79,April,2009,County
Meath,70,April,2009,County
Monaghan,46,April,2009,County
North Tipperary,37,April,2009,County
Offaly,31,April,2009,County
Roscommon,56,April,2009,County
Sligo,63,April,2009,County
South Dublin,70,April,2009,County
South Tipperary,46,April,2009,County
Waterford,62,April,2009,County
Westmeath,38,April,2009,County
Wexford,86,April,2009,County
Carlow,31,May,2009,County
Cavan,44,May,2009,County
Clare,54,May,2009,County
Cork,257,May,2009,County
Donegal,143,May,2009,County
Dun Laoghaire,53,May,2009,County
Fingal,89,May,2009,County
Galway,99,May,2009,County
Kerry,66,May,2009,County
Kildare,117,May,2009,County
Kilkenny,40,May,2009,County
Laois,47,May,2009,County
Leitrim,20,May,2009,County
Limerick,84,May,2009,County
Longford,28,May,2009,County
Louth,92,May,2009,County
Mayo,96,May,2009,County
Meath,93,May,2009,County
Monaghan,39,May,2009,County
North Tipperary,40,May,2009,County
Offaly,26,May,2009,County
Roscommon,31,May,2009,County
Sligo,44,May,2009,County
South Dublin,32,May,2009,County
South Tipperary,20,May,2009,County
Waterford,36,May,2009,County
Westmeath,26,May,2009,County
Wexford,85,May,2009,County
Carlow,55,June,2009,County
Cavan,39,June,2009,County
Clare,43,June,2009,County
Cork,240,June,2009,County
Donegal,146,June,2009,County
Dun Laoghaire,40,June,2009,County
Fingal,113,June,2009,County
Galway,81,June,2009,County
Kerry,70,June,2009,County
Kildare,85,June,2009,County
Kilkenny,32,June,2009,County
Laois,49,June,2009,County
Leitrim,19,June,2009,County
Limerick,41,June,2009,County
Longford,12,June,2009,County
Louth,67,June,2009,County
Mayo,74,June,2009,County
Meath,70,June,2009,County
Monaghan,33,June,2009,County
North Tipperary,52,June,2009,County
Offaly,32,June,2009,County
Roscommon,45,June,2009,County
Sligo,47,June,2009,County
South Dublin,96,June,2009,County
South Tipperary,46,June,2009,County
Waterford,36,June,2009,County
Westmeath,34,June,2009,County
Wexford,118,June,2009,County
Carlow,26,July,2009,County
Cavan,42,July,2009,County
Clare,77,July,2009,County
Cork,232,July,2009,County
Donegal,150,July,2009,County
Dun Laoghaire,40,July,2009,County
Fingal,186,July,2009,County
Galway,114,July,2009,County
Kerry,117,July,2009,County
Kildare,54,July,2009,County
Kilkenny,47,July,2009,County
Laois,42,July,2009,County
Leitrim,32,July,2009,County
Limerick,47,July,2009,County
Longford,11,July,2009,County
Louth,66,July,2009,County
Mayo,79,July,2009,County
Meath,87,July,2009,County
Monaghan,39,July,2009,County
North Tipperary,51,July,2009,County
Offaly,28,July,2009,County
Roscommon,24,July,2009,County
Sligo,55,July,2009,County
South Dublin,108,July,2009,County
South Tipperary,47,July,2009,County
Waterford,42,July,2009,County
Westmeath,33,July,2009,County
Wexford,74,July,2009,County
Carlow,20,August,2009,County
Cavan,37,August,2009,County
Clare,43,August,2009,County
Cork,154,August,2009,County
Donegal,91,August,2009,County
Dun Laoghaire,13,August,2009,County
Fingal,68,August,2009,County
Galway,76,August,2009,County
Kerry,53,August,2009,County
Kildare,72,August,2009,County
Kilkenny,27,August,2009,County
Laois,29,August,2009,County
Leitrim,18,August,2009,County
Limerick,42,August,2009,County
Longford,14,August,2009,County
Louth,33,August,2009,County
Mayo,89,August,2009,County
Meath,76,August,2009,County
Monaghan,31,August,2009,County
North Tipperary,26,August,2009,County
Offaly,34,August,2009,County
Roscommon,23,August,2009,County
Sligo,17,August,2009,County
South Dublin,27,August,2009,County
South Tipperary,17,August,2009,County
Waterford,40,August,2009,County
Westmeath,35,August,2009,County
Wexford,64,August,2009,County
Carlow,29,September,2009,County
Cavan,63,September,2009,County
Clare,43,September,2009,County
Cork,197,September,2009,County
Donegal,159,September,2009,County
Dun Laoghaire,80,September,2009,County
Fingal,104,September,2009,County
Galway,99,September,2009,County
Kerry,61,September,2009,County
Kildare,87,September,2009,County
Kilkenny,38,September,2009,County
Laois,19,September,2009,County
Leitrim,20,September,2009,County
Limerick,43,September,2009,County
Longford,19,September,2009,County
Louth,60,September,2009,County
Mayo,99,September,2009,County
Meath,123,September,2009,County
Monaghan,41,September,2009,County
North Tipperary,29,September,2009,County
Offaly,32,September,2009,County
Roscommon,30,September,2009,County
Sligo,41,September,2009,County
South Dublin,48,September,2009,County
South Tipperary,43,September,2009,County
Waterford,36,September,2009,County
Westmeath,51,September,2009,County
Wexford,96,September,2009,County
Carlow,53,October,2009,County
Cavan,58,October,2009,County
Clare,53,October,2009,County
Cork,166,October,2009,County
Donegal,100,October,2009,County
Dun Laoghaire,80,October,2009,County
Fingal,99,October,2009,County
Galway,93,October,2009,County
Kerry,55,October,2009,County
Kildare,92,October,2009,County
Kilkenny,33,October,2009,County
Laois,34,October,2009,County
Leitrim,20,October,2009,County
Limerick,49,October,2009,County
Longford,31,October,2009,County
Louth,34,October,2009,County
Mayo,85,October,2009,County
Meath,79,October,2009,County
Monaghan,42,October,2009,County
North Tipperary,75,October,2009,County
Offaly,29,October,2009,County
Roscommon,36,October,2009,County
Sligo,42,October,2009,County
South Dublin,52,October,2009,County
South Tipperary,28,October,2009,County
Waterford,28,October,2009,County
Westmeath,27,October,2009,County
Wexford,66,October,2009,County
Carlow,35,November,2009,County
Cavan,30,November,2009,County
Clare,67,November,2009,County
Cork,252,November,2009,County
Donegal,156,November,2009,County
Dun Laoghaire,100,November,2009,County
Fingal,82,November,2009,County
Galway,127,November,2009,County
Kerry,63,November,2009,County
Kildare,76,November,2009,County
Kilkenny,35,November,2009,County
Laois,53,November,2009,County
Leitrim,7,November,2009,County
Limerick,61,November,2009,County
Longford,44,November,2009,County
Louth,77,November,2009,County
Mayo,54,November,2009,County
Meath,67,November,2009,County
Monaghan,28,November,2009,County
North Tipperary,68,November,2009,County
Offaly,24,November,2009,County
Roscommon,36,November,2009,County
Sligo,21,November,2009,County
South Dublin,31,November,2009,County
South Tipperary,29,November,2009,County
Waterford,39,November,2009,County
Westmeath,58,November,2009,County
Wexford,78,November,2009,County
Carlow,24,December,2009,County
Cavan,62,December,2009,County
Clare,56,December,2009,County
Cork,206,December,2009,County
Donegal,178,December,2009,County
Dun Laoghaire,59,December,2009,County
Fingal,91,December,2009,County
Galway,99,December,2009,County
Kerry,99,December,2009,County
Kildare,83,December,2009,County
Kilkenny,38,December,2009,County
Laois,46,December,2009,County
Leitrim,12,December,2009,County
Limerick,56,December,2009,County
Longford,18,December,2009,County
Louth,76,December,2009,County
Mayo,78,December,2009,County
Meath,85,December,2009,County
Monaghan,39,December,2009,County
North Tipperary,92,December,2009,County
Offaly,32,December,2009,County
Roscommon,23,December,2009,County
Sligo,14,December,2009,County
South Dublin,38,December,2009,County
South Tipperary,46,December,2009,County
Waterford,31,December,2009,County
Westmeath,35,December,2009,County
Wexford,86,December,2009,County
Carlow,16,January,2010,County
Cavan,19,January,2010,County
Clare,21,January,2010,County
Cork,93,January,2010,County
Donegal,57,January,2010,County
Dun Laoghaire,51,January,2010,County
Fingal,75,January,2010,County
Galway,56,January,2010,County
Kerry,23,January,2010,County
Kildare,44,January,2010,County
Kilkenny,25,January,2010,County
Laois,17,January,2010,County
Leitrim,6,January,2010,County
Limerick,31,January,2010,County
Longford,10,January,2010,County
Louth,98,January,2010,County
Mayo,43,January,2010,County
Meath,36,January,2010,County
Monaghan,14,January,2010,County
North Tipperary,22,January,2010,County
Offaly,17,January,2010,County
Roscommon,30,January,2010,County
Sligo,33,January,2010,County
South Dublin,29,January,2010,County
South Tipperary,21,January,2010,County
Waterford,73,January,2010,County
Westmeath,20,January,2010,County
Wexford,39,January,2010,County
Carlow,13,February,2010,County
Cavan,33,February,2010,County
Clare,49,February,2010,County
Cork,128,February,2010,County
Donegal,64,February,2010,County
Dun Laoghaire,29,February,2010,County
Fingal,36,February,2010,County
Galway,102,February,2010,County
Kerry,47,February,2010,County
Kildare,63,February,2010,County
Kilkenny,22,February,2010,County
Laois,20,February,2010,County
Leitrim,23,February,2010,County
Limerick,35,February,2010,County
Longford,16,February,2010,County
Louth,31,February,2010,County
Mayo,42,February,2010,County
Meath,54,February,2010,County
Monaghan,16,February,2010,County
North Tipperary,24,February,2010,County
Offaly,13,February,2010,County
Roscommon,44,February,2010,County
Sligo,20,February,2010,County
South Dublin,30,February,2010,County
South Tipperary,33,February,2010,County
Waterford,22,February,2010,County
Westmeath,25,February,2010,County
Wexford,66,February,2010,County
Carlow,12,March,2010,County
Cavan,26,March,2010,County
Clare,57,March,2010,County
Cork,209,March,2010,County
Donegal,91,March,2010,County
Dun Laoghaire,12,March,2010,County
Fingal,67,March,2010,County
Galway,67,March,2010,County
Kerry,53,March,2010,County
Kildare,40,March,2010,County
Kilkenny,34,March,2010,County
Laois,21,March,2010,County
Leitrim,16,March,2010,County
Limerick,46,March,2010,County
Longford,13,March,2010,County
Louth,19,March,2010,County
Mayo,60,March,2010,County
Meath,45,March,2010,County
Monaghan,15,March,2010,County
North Tipperary,41,March,2010,County
Offaly,15,March,2010,County
Roscommon,22,March,2010,County
Sligo,17,March,2010,County
South Dublin,42,March,2010,County
South Tipperary,21,March,2010,County
Waterford,22,March,2010,County
Westmeath,20,March,2010,County
Wexford,62,March,2010,County
Carlow,18,April,2010,County
Cavan,20,April,2010,County
Clare,117,April,2010,County
Cork,145,April,2010,County
Donegal,60,April,2010,County
Dun Laoghaire,24,April,2010,County
Fingal,20,April,2010,County
Galway,70,April,2010,County
Kerry,62,April,2010,County
Kildare,41,April,2010,County
Kilkenny,28,April,2010,County
Laois,19,April,2010,County
Leitrim,11,April,2010,County
Limerick,33,April,2010,County
Longford,8,April,2010,County
Louth,30,April,2010,County
Mayo,47,April,2010,County
Meath,45,April,2010,County
Monaghan,27,April,2010,County
North Tipperary,28,April,2010,County
Offaly,22,April,2010,County
Roscommon,32,April,2010,County
Sligo,14,April,2010,County
South Dublin,7,April,2010,County
South Tipperary,15,April,2010,County
Waterford,29,April,2010,County
Westmeath,26,April,2010,County
Wexford,48,April,2010,County
Carlow,17,May,2010,County
Cavan,28,May,2010,County
Clare,100,May,2010,County
Cork,162,May,2010,County
Donegal,59,May,2010,County
Dun Laoghaire,18,May,2010,County
Fingal,41,May,2010,County
Galway,59,May,2010,County
Kerry,62,May,2010,County
Kildare,51,May,2010,County
Kilkenny,32,May,2010,County
Laois,9,May,2010,County
Leitrim,17,May,2010,County
Limerick,30,May,2010,County
Longford,6,May,2010,County
Louth,35,May,2010,County
Mayo,50,May,2010,County
Meath,41,May,2010,County
Monaghan,19,May,2010,County
North Tipperary,13,May,2010,County
Offaly,16,May,2010,County
Roscommon,17,May,2010,County
Sligo,11,May,2010,County
South Dublin,20,May,2010,County
South Tipperary,17,May,2010,County
Waterford,27,May,2010,County
Westmeath,32,May,2010,County
Wexford,64,May,2010,County
Carlow,8,June,2010,County
Cavan,36,June,2010,County
Clare,34,June,2010,County
Cork,119,June,2010,County
Donegal,54,June,2010,County
Dun Laoghaire,15,June,2010,County
Fingal,28,June,2010,County
Galway,56,June,2010,County
Kerry,70,June,2010,County
Kildare,46,June,2010,County
Kilkenny,43,June,2010,County
Laois,12,June,2010,County
Leitrim,13,June,2010,County
Limerick,35,June,2010,County
Longford,3,June,2010,County
Louth,31,June,2010,County
Mayo,57,June,2010,County
Meath,31,June,2010,County
Monaghan,20,June,2010,County
North Tipperary,24,June,2010,County
Offaly,18,June,2010,County
Roscommon,16,June,2010,County
Sligo,9,June,2010,County
South Dublin,23,June,2010,County
South Tipperary,19,June,2010,County
Waterford,19,June,2010,County
Westmeath,24,June,2010,County
Wexford,46,June,2010,County
Carlow,9,July,2010,County
Cavan,14,July,2010,County
Clare,31,July,2010,County
Cork,179,July,2010,County
Donegal,70,July,2010,County
Dun Laoghaire,13,July,2010,County
Fingal,28,July,2010,County
Galway,57,July,2010,County
Kerry,44,July,2010,County
Kildare,56,July,2010,County
Kilkenny,39,July,2010,County
Laois,24,July,2010,County
Leitrim,11,July,2010,County
Limerick,33,July,2010,County
Longford,8,July,2010,County
Louth,22,July,2010,County
Mayo,45,July,2010,County
Meath,57,July,2010,County
Monaghan,13,July,2010,County
North Tipperary,33,July,2010,County
Offaly,29,July,2010,County
Roscommon,42,July,2010,County
Sligo,20,July,2010,County
South Dublin,66,July,2010,County
South Tipperary,27,July,2010,County
Waterford,26,July,2010,County
Westmeath,24,July,2010,County
Wexford,66,July,2010,County
Carlow,13,August,2010,County
Cavan,11,August,2010,County
Clare,40,August,2010,County
Cork,135,August,2010,County
Donegal,48,August,2010,County
Dun Laoghaire,38,August,2010,County
Fingal,49,August,2010,County
Galway,54,August,2010,County
Kerry,31,August,2010,County
Kildare,60,August,2010,County
Kilkenny,23,August,2010,County
Laois,30,August,2010,County
Leitrim,8,August,2010,County
Limerick,40,August,2010,County
Longford,13,August,2010,County
Louth,22,August,2010,County
Mayo,47,August,2010,County
Meath,67,August,2010,County
Monaghan,16,August,2010,County
North Tipperary,18,August,2010,County
Offaly,24,August,2010,County
Roscommon,26,August,2010,County
Sligo,29,August,2010,County
South Dublin,35,August,2010,County
South Tipperary,19,August,2010,County
Waterford,33,August,2010,County
Westmeath,19,August,2010,County
Wexford,93,August,2010,County
Carlow,18,September,2010,County
Cavan,24,September,2010,County
Clare,29,September,2010,County
Cork,140,September,2010,County
Donegal,70,September,2010,County
Dun Laoghaire,83,September,2010,County
Fingal,40,September,2010,County
Galway,75,September,2010,County
Kerry,44,September,2010,County
Kildare,76,September,2010,County
Kilkenny,22,September,2010,County
Laois,14,September,2010,County
Leitrim,11,September,2010,County
Limerick,28,September,2010,County
Longford,18,September,2010,County
Louth,22,September,2010,County
Mayo,65,September,2010,County
Meath,81,September,2010,County
Monaghan,13,September,2010,County
North Tipperary,29,September,2010,County
Offaly,28,September,2010,County
Roscommon,34,September,2010,County
Sligo,31,September,2010,County
South Dublin,16,September,2010,County
South Tipperary,22,September,2010,County
Waterford,23,September,2010,County
Westmeath,17,September,2010,County
Wexford,43,September,2010,County
Carlow,29,October,2010,County
Cavan,19,October,2010,County
Clare,32,October,2010,County
Cork,94,October,2010,County
Donegal,52,October,2010,County
Dun Laoghaire,76,October,2010,County
Fingal,65,October,2010,County
Galway,64,October,2010,County
Kerry,39,October,2010,County
Kildare,43,October,2010,County
Kilkenny,27,October,2010,County
Laois,14,October,2010,County
Leitrim,12,October,2010,County
Limerick,59,October,2010,County
Longford,11,October,2010,County
Louth,38,October,2010,County
Mayo,61,October,2010,County
Meath,37,October,2010,County
Monaghan,15,October,2010,County
North Tipperary,22,October,2010,County
Offaly,26,October,2010,County
Roscommon,16,October,2010,County
Sligo,16,October,2010,County
South Dublin,17,October,2010,County
South Tipperary,45,October,2010,County
Waterford,15,October,2010,County
Westmeath,56,October,2010,County
Wexford,44,October,2010,County
Carlow,50,November,2010,County
Cavan,41,November,2010,County
Clare,40,November,2010,County
Cork,177,November,2010,County
Donegal,105,November,2010,County
Dun Laoghaire,10,November,2010,County
Fingal,58,November,2010,County
Galway,82,November,2010,County
Kerry,33,November,2010,County
Kildare,54,November,2010,County
Kilkenny,30,November,2010,County
Laois,33,November,2010,County
Leitrim,11,November,2010,County
Limerick,36,November,2010,County
Longford,31,November,2010,County
Louth,30,November,2010,County
Mayo,58,November,2010,County
Meath,66,November,2010,County
Monaghan,21,November,2010,County
North Tipperary,25,November,2010,County
Offaly,21,November,2010,County
Roscommon,22,November,2010,County
Sligo,12,November,2010,County
South Dublin,80,November,2010,County
South Tipperary,22,November,2010,County
Waterford,23,November,2010,County
Westmeath,45,November,2010,County
Wexford,55,November,2010,County
Carlow,27,December,2010,County
Cavan,25,December,2010,County
Clare,42,December,2010,County
Cork,117,December,2010,County
Donegal,95,December,2010,County
Dun Laoghaire,15,December,2010,County
Fingal,33,December,2010,County
Galway,83,December,2010,County
Kerry,38,December,2010,County
Kildare,41,December,2010,County
Kilkenny,18,December,2010,County
Laois,23,December,2010,County
Leitrim,3,December,2010,County
Limerick,29,December,2010,County
Longford,15,December,2010,County
Louth,26,December,2010,County
Mayo,42,December,2010,County
Meath,59,December,2010,County
Monaghan,19,December,2010,County
North Tipperary,23,December,2010,County
Offaly,23,December,2010,County
Roscommon,18,December,2010,County
Sligo,11,December,2010,County
South Dublin,40,December,2010,County
South Tipperary,30,December,2010,County
Waterford,20,December,2010,County
Westmeath,26,December,2010,County
Wexford,33,December,2010,County
Carlow,10.0,January,2011,County
Cavan,32.0,January,2011,County
Clare,19.0,January,2011,County
Cork,129.0,January,2011,County
Donegal,41.0,January,2011,County
Dun Laoghaire,16.0,January,2011,County
Fingal,21.0,January,2011,County
Galway,42.0,January,2011,County
Kerry,16.0,January,2011,County
Kildare,25.0,January,2011,County
Kilkenny,10.0,January,2011,County
Laois,9.0,January,2011,County
Leitrim,30.0,January,2011,County
Limerick,13.0,January,2011,County
Longford,8.0,January,2011,County
Louth,30.0,January,2011,County
Mayo,36.0,January,2011,County
Meath,26.0,January,2011,County
Monaghan,12.0,January,2011,County
North Tipperary,8.0,January,2011,County
Offaly,12.0,January,2011,County
Roscommon,13.0,January,2011,County
Sligo,23.0,January,2011,County
South Dublin,30.0,January,2011,County
South Tipperary,4.0,January,2011,County
Waterford,28.0,January,2011,County
Westmeath,7.0,January,2011,County
Wexford,22.0,January,2011,County
Carlow,10.0,February,2011,County
Cavan,17.0,February,2011,County
Clare,28.0,February,2011,County
Cork,85.0,February,2011,County
Donegal,56.0,February,2011,County
Dun Laoghaire,15.0,February,2011,County
Fingal,93.0,February,2011,County
Galway,50.0,February,2011,County
Kerry,30.0,February,2011,County
Kildare,32.0,February,2011,County
Kilkenny,21.0,February,2011,County
Laois,17.0,February,2011,County
Leitrim,23.0,February,2011,County
Limerick,21.0,February,2011,County
Longford,8.0,February,2011,County
Louth,19.0,February,2011,County
Mayo,32.0,February,2011,County
Meath,32.0,February,2011,County
Monaghan,11.0,February,2011,County
North Tipperary,19.0,February,2011,County
Offaly,12.0,February,2011,County
Roscommon,16.0,February,2011,County
Sligo,34.0,February,2011,County
South Dublin,16.0,February,2011,County
South Tipperary,13.0,February,2011,County
Waterford,11.0,February,2011,County
Westmeath,21.0,February,2011,County
Wexford,38.0,February,2011,County
Carlow,6,March,2011,County
Cavan,40,March,2011,County
Clare,27,March,2011,County
Cork,149,March,2011,County
Donegal,62,March,2011,County
Dun Laoghaire,36,March,2011,County
Fingal,69,March,2011,County
Galway,60,March,2011,County
Kerry,39,March,2011,County
Kildare,95,March,2011,County
Kilkenny,18,March,2011,County
Laois,19,March,2011,County
Leitrim,10,March,2011,County
Limerick,25,March,2011,County
Longford,3,March,2011,County
Louth,21,March,2011,County
Mayo,24,March,2011,County
Meath,39,March,2011,County
Monaghan,14,March,2011,County
North Tipperary,17,March,2011,County
Offaly,13,March,2011,County
Roscommon,22,March,2011,County
Sligo,17,March,2011,County
South Dublin,12,March,2011,County
South Tipperary,22,March,2011,County
Waterford,18,March,2011,County
Westmeath,21,March,2011,County
Wexford,36,March,2011,County
Carlow,8.0,April,2011,County
Cavan,19.0,April,2011,County
Clare,16.0,April,2011,County
Cork,99.0,April,2011,County
Donegal,48.0,April,2011,County
Dun Laoghaire,34.0,April,2011,County
Fingal,110.0,April,2011,County
Galway,45.0,April,2011,County
Kerry,29.0,April,2011,County
Kildare,26.0,April,2011,County
Kilkenny,17.0,April,2011,County
Laois,17.0,April,2011,County
Leitrim,4.0,April,2011,County
Limerick,25.0,April,2011,County
Longford,10.0,April,2011,County
Louth,15.0,April,2011,County
Mayo,25.0,April,2011,County
Meath,26.0,April,2011,County
Monaghan,4.0,April,2011,County
North Tipperary,20.0,April,2011,County
Offaly,20.0,April,2011,County
Roscommon,27.0,April,2011,County
Sligo,19.0,April,2011,County
South Dublin,10.0,April,2011,County
South Tipperary,13.0,April,2011,County
Waterford,16.0,April,2011,County
Westmeath,25.0,April,2011,County
Wexford,42.0,April,2011,County
Carlow,6.0,May,2011,County
Cavan,18.0,May,2011,County
Clare,26.0,May,2011,County
Cork,100.0,May,2011,County
Donegal,55.0,May,2011,County
Dun Laoghaire,30.0,May,2011,County
Fingal,27.0,May,2011,County
Galway,46.0,May,2011,County
Kerry,27.0,May,2011,County
Kildare,27.0,May,2011,County
Kilkenny,15.0,May,2011,County
Laois,23.0,May,2011,County
Leitrim,7.0,May,2011,County
Limerick,19.0,May,2011,County
Longford,3.0,May,2011,County
Louth,17.0,May,2011,County
Mayo,26.0,May,2011,County
Meath,31.0,May,2011,County
Monaghan,14.0,May,2011,County
North Tipperary,33.0,May,2011,County
Offaly,15.0,May,2011,County
Roscommon,13.0,May,2011,County
Sligo,16.0,May,2011,County
South Dublin,8.0,May,2011,County
South Tipperary,33.0,May,2011,County
Waterford,17.0,May,2011,County
Westmeath,16.0,May,2011,County
Wexford,39.0,May,2011,County
Carlow,23.0,June,2011,County
Cavan,19.0,June,2011,County
Clare,24.0,June,2011,County
Cork,95.0,June,2011,County
Donegal,82.0,June,2011,County
Dun Laoghaire,16.0,June,2011,County
Fingal,56.0,June,2011,County
Galway,62.0,June,2011,County
Kerry,44.0,June,2011,County
Kildare,14.0,June,2011,County
Kilkenny,26.0,June,2011,County
Laois,13.0,June,2011,County
Leitrim,9.0,June,2011,County
Limerick,28.0,June,2011,County
Longford,17.0,June,2011,County
Louth,37.0,June,2011,County
Mayo,26.0,June,2011,County
Meath,34.0,June,2011,County
Monaghan,12.0,June,2011,County
North Tipperary,33.0,June,2011,County
Offaly,10.0,June,2011,County
Roscommon,32.0,June,2011,County
Sligo,11.0,June,2011,County
South Dublin,6.0,June,2011,County
South Tipperary,17.0,June,2011,County
Waterford,11.0,June,2011,County
Westmeath,18.0,June,2011,County
Wexford,30.0,June,2011,County
Carlow,41.0,July,2011,County
Cavan,20.0,July,2011,County
Clare,23.0,July,2011,County
Cork,90.0,July,2011,County
Donegal,50.0,July,2011,County
Dun Laoghaire,3.0,July,2011,County
Fingal,30.0,July,2011,County
Galway,47.0,July,2011,County
Kerry,35.0,July,2011,County
Kildare,26.0,July,2011,County
Kilkenny,44.0,July,2011,County
Laois,15.0,July,2011,County
Leitrim,11.0,July,2011,County
Limerick,27.0,July,2011,County
Longford,5.0,July,2011,County
Louth,17.0,July,2011,County
Mayo,73.0,July,2011,County
Meath,30.0,July,2011,County
Monaghan,15.0,July,2011,County
North Tipperary,15.0,July,2011,County
Offaly,17.0,July,2011,County
Roscommon,21.0,July,2011,County
Sligo,33.0,July,2011,County
South Dublin,7.0,July,2011,County
South Tipperary,19.0,July,2011,County
Waterford,8.0,July,2011,County
Westmeath,20.0,July,2011,County
Wexford,45.0,July,2011,County
Carlow,17.0,August,2011,County
Cavan,28.0,August,2011,County
Clare,20.0,August,2011,County
Cork,113.0,August,2011,County
Donegal,42.0,August,2011,County
Dun Laoghaire,8.0,August,2011,County
Fingal,69.0,August,2011,County
Galway,38.0,August,2011,County
Kerry,27.0,August,2011,County
Kildare,23.0,August,2011,County
Kilkenny,35.0,August,2011,County
Laois,16.0,August,2011,County
Leitrim,3.0,August,2011,County
Limerick,21.0,August,2011,County
Longford,3.0,August,2011,County
Louth,19.0,August,2011,County
Mayo,39.0,August,2011,County
Meath,33.0,August,2011,County
Monaghan,16.0,August,2011,County
North Tipperary,23.0,August,2011,County
Offaly,22.0,August,2011,County
Roscommon,11.0,August,2011,County
Sligo,14.0,August,2011,County
South Dublin,8.0,August,2011,County
South Tipperary,16.0,August,2011,County
Waterford,10.0,August,2011,County
Westmeath,22.0,August,2011,County
Wexford,37.0,August,2011,County
Carlow,9,September,2011,County
Cavan,24,September,2011,County
Clare,25,September,2011,County
Cork,121,September,2011,County
Donegal,42,September,2011,County
Dun Laoghaire,6,September,2011,County
Fingal,73,September,2011,County
Galway,68,September,2011,County
Kerry,42,September,2011,County
Kildare,18,September,2011,County
Kilkenny,31,September,2011,County
Laois,18,September,2011,County
