Council,No_Of_Connections,Month,Year,Type
Westmeath,120,July,2006,County
Wexford,333,July,2006,County
Carlow,141,August,2006,County
Cavan,199,August,2006,County
Clare,164,August,2006,County
Cork,592,August,2006,County
Donegal,276,August,2006,County
Dun Laoghaire,329,August,2006,County
Fingal,385,August,2006,County
Galway,274,August,2006,County
Kerry,343,August,2006,County
Kildare,281,August,2006,County
Kilkenny,167,August,2006,County
Laois,141,August,2006,County
Leitrim,54,August,2006,County
Limerick,197,August,2006,County
Longford,57,August,2006,County
Louth,207,August,2006,County
Mayo,215,August,2006,County
Meath,196,August,2006,County
Monaghan,92,August,2006,County
North Tipperary,80,August,2006,County
Offaly,85,August,2006,County
Roscommon,153,August,2006,County
Sligo,121,August,2006,County
South Dublin,262,August,2006,County
South Tipperary,166,August,2006,County
Waterford,79,August,2006,County
Westmeath,107,August,2006,County
Wexford,245,August,2006,County
Carlow,96,September,2006,County
Cavan,237,September,2006,County
Clare,155,September,2006,County
Cork,630,September,2006,County
Donegal,328,September,2006,County
Dun Laoghaire,155,September,2006,County
Fingal,560,September,2006,County
Galway,380,September,2006,County
Kerry,321,September,2006,County
Kildare,532,September,2006,County
Kilkenny,155,September,2006,County
Laois,184,September,2006,County
Leitrim,140,September,2006,County
Limerick,226,September,2006,County
Longford,96,September,2006,County
Louth,179,September,2006,County
Mayo,258,September,2006,County
Meath,308,September,2006,County
Monaghan,128,September,2006,County
North Tipperary,160,September,2006,County
Offaly,138,September,2006,County
Roscommon,134,September,2006,County
Sligo,171,September,2006,County
South Dublin,167,September,2006,County
South Tipperary,102,September,2006,County
Waterford,113,September,2006,County
Westmeath,96,September,2006,County
Wexford,214,September,2006,County
Carlow,142,October,2006,County
Cavan,203,October,2006,County
Clare,252,October,2006,County
Cork,810,October,2006,County
Donegal,475,October,2006,County
Dun Laoghaire,148,October,2006,County
Fingal,479,October,2006,County
Galway,357,October,2006,County
Kerry,408,October,2006,County
Kildare,371,October,2006,County
Kilkenny,186,October,2006,County
Laois,286,October,2006,County
Leitrim,100,October,2006,County
Limerick,360,October,2006,County
Longford,116,October,2006,County
Louth,144,October,2006,County
Mayo,258,October,2006,County
Meath,340,October,2006,County
Monaghan,110,October,2006,County
North Tipperary,118,October,2006,County
Offaly,232,October,2006,County
Roscommon,211,October,2006,County
Sligo,224,October,2006,County
South Dublin,204,October,2006,County
South Tipperary,210,October,2006,County
Waterford,131,October,2006,County
Westmeath,162,October,2006,County
Wexford,344,October,2006,County
Carlow,182,November,2006,County
Cavan,259,November,2006,County
Clare,296,November,2006,County
Cork,900,November,2006,County
Donegal,503,November,2006,County
Dun Laoghaire,162,November,2006,County
Fingal,623,November,2006,County
Galway,437,November,2006,County
Kerry,444,November,2006,County
Kildare,381,November,2006,County
Kilkenny,228,November,2006,County
Laois,224,November,2006,County
Leitrim,222,November,2006,County
Limerick,293,November,2006,County
Longford,169,November,2006,County
Louth,227,November,2006,County
Mayo,322,November,2006,County
Meath,348,November,2006,County
Monaghan,103,November,2006,County
North Tipperary,152,November,2006,County
Offaly,196,November,2006,County
Roscommon,232,November,2006,County
Sligo,309,November,2006,County
South Dublin,451,November,2006,County
South Tipperary,156,November,2006,County
Waterford,192,November,2006,County
Westmeath,220,November,2006,County
Wexford,308,November,2006,County
Carlow,60,December,2006,County
Cavan,219,December,2006,County
Clare,213,December,2006,County
Cork,705,December,2006,County
Donegal,357,December,2006,County
Dun Laoghaire,204,December,2006,County
Fingal,543,December,2006,County
Galway,443,December,2006,County
Kerry,405,December,2006,County
Kildare,437,December,2006,County
Kilkenny,160,December,2006,County
Laois,186,December,2006,County
Leitrim,85,December,2006,County
Limerick,293,December,2006,County
Longford,225,December,2006,County
Louth,272,December,2006,County
Mayo,321,December,2006,County
Meath,324,December,2006,County
Monaghan,143,December,2006,County
North Tipperary,144,December,2006,County
Offaly,141,December,2006,County
Roscommon,260,December,2006,County
Sligo,98,December,2006,County
South Dublin,241,December,2006,County
South Tipperary,172,December,2006,County
Waterford,116,December,2006,County
Westmeath,179,December,2006,County
Wexford,310,December,2006,County
Carlow,52,January,2007,County
Cavan,176,January,2007,County
Clare,122,January,2007,County
Cork,573,January,2007,County
Donegal,344,January,2007,County
Dun Laoghaire,217,January,2007,County
Fingal,311,January,2007,County
Galway,427,January,2007,County
Kerry,172,January,2007,County
Kildare,225,January,2007,County
Kilkenny,129,January,2007,County
Laois,213,January,2007,County
Leitrim,105,January,2007,County
Limerick,166,January,2007,County
Longford,96,January,2007,County
Louth,128,January,2007,County
Mayo,221,January,2007,County
Meath,162,January,2007,County
Monaghan,47,January,2007,County
North Tipperary,90,January,2007,County
Offaly,84,January,2007,County
Roscommon,113,January,2007,County
Sligo,129,January,2007,County
South Dublin,160,January,2007,County
South Tipperary,110,January,2007,County
Waterford,60,January,2007,County
Westmeath,201,January,2007,County
Wexford,213,January,2007,County
